dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_argenprop,localidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,partido,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,provincia,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,pais,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,codigo_postal,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,latitud,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,longitud,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,toilettes,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,superficie_descubierta_m2,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,superficie_semicubierta_m2,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,superficie_terreno_m2,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,frente_m,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,fondo_m,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,antiguedad_anios,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,estado_inmueble,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,disposicion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,orientacion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,luminosidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,cantidad_plantas,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
